nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope per_env | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 env=00] 训练 294 张 / 测试 73 张 / 每 epoch 18 个 batch
 epoch       loss      acc      auc       秒
    14     0.5520    0.616    0.657    10.3
    15     0.5141    0.603    0.704    10.3
    16     0.5142    0.548    0.685    10.2
    17     0.4416    0.644    0.726    10.3
    18     0.4520    0.603    0.667    10.2
    19     0.4642    0.685    0.750    10.2
    20     0.4749    0.699    0.744    10.2
    21     0.4331    0.658    0.726    10.3
    22     0.3593    0.589    0.738    10.2
    23     0.3936    0.644    0.700    10.2
    24     0.3723    0.603    0.730    10.2
    25     0.3468    0.630    0.685    10.2
    26     0.3612    0.630    0.690    10.2
    27     0.3136    0.712    0.757    10.3
    28     0.2483    0.616    0.733    10.3
    29     0.3227    0.767    0.770    10.3
    30     0.2864    0.712    0.783    10.3
    31     0.2419    0.699    0.748    10.3
    32     0.2498    0.603    0.679    10.4
    33     0.2379    0.699    0.759    10.3
    34     0.1830    0.712    0.763    10.4
    35     0.1595    0.658    0.739    10.4
    36     0.1378    0.589    0.723    10.2
    37     0.1874    0.685    0.730    10.3
    38     0.1606    0.671    0.757    10.3
    39     0.1421    0.699    0.810    10.1
    40     0.1406    0.658    0.767    10.3
    41     0.1550    0.699    0.773    10.1
    42     0.1271    0.671    0.737    10.2
    43     0.1358    0.712    0.760    10.3
    44     0.0820    0.671    0.745    10.2
    45     0.0999    0.795    0.791    10.4
    46     0.1316    0.685    0.727    10.2
    47     0.1175    0.658    0.750    10.2
    48     0.0785    0.671    0.730    10.2
    49     0.0748    0.603    0.677    10.3
    50     0.1055    0.603    0.733    10.2
