dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,per_env,vit_b_16,640,0,02,3,0.57407,0.64446,0.61674
HTP,per_env,vit_b_16,640,0,02,4,0.59259,0.7209,0.62972
HTP,per_env,vit_b_16,640,0,02,5,0.57407,0.62272,0.58043
HTP,per_env,vit_b_16,640,0,02,6,0.48148,0.54839,0.56275
HTP,per_env,vit_b_16,640,0,02,7,0.64815,0.69565,0.52386
HTP,per_env,vit_b_16,640,0,02,8,0.53704,0.6662,0.40727
HTP,per_env,vit_b_16,640,0,02,9,0.53704,0.58345,0.42433
HTP,per_env,vit_b_16,640,0,02,10,0.51852,0.52875,0.47128
HTP,per_env,vit_b_16,640,0,02,11,0.57407,0.56381,0.40441
HTP,per_env,vit_b_16,640,0,02,12,0.51852,0.53717,0.37259
HTP,per_env,vit_b_16,640,0,02,13,0.46296,0.52034,0.25541
HTP,per_env,vit_b_16,640,0,02,14,0.55556,0.58485,0.22004
HTP,per_env,vit_b_16,640,0,02,15,0.51852,0.59748,0.21985
HTP,per_env,vit_b_16,640,0,02,16,0.57407,0.54979,0.25383
HTP,per_env,vit_b_16,640,0,02,17,0.57407,0.63254,0.20446
HTP,per_env,vit_b_16,640,0,02,18,0.51852,0.54979,0.18485
HTP,per_env,vit_b_16,640,0,02,19,0.5,0.53015,0.24564
HTP,per_env,vit_b_16,640,0,02,20,0.51852,0.49018,0.23831
HTP,per_env,vit_b_16,640,0,02,21,0.42593,0.4993,0.22011
HTP,per_env,vit_b_16,640,0,02,22,0.51852,0.50351,0.1806
HTP,per_env,vit_b_16,640,0,02,23,0.61111,0.57223,0.10687
HTP,per_env,vit_b_16,640,0,02,24,0.5,0.4993,0.14599
HTP,per_env,vit_b_16,640,0,02,25,0.46296,0.54278,0.11708
HTP,per_env,vit_b_16,640,0,02,26,0.44444,0.47686,0.26259
HTP,per_env,vit_b_16,640,0,02,27,0.48148,0.42216,0.27425
HTP,per_env,vit_b_16,640,0,02,28,0.51852,0.56101,0.1784
HTP,per_env,vit_b_16,640,0,02,29,0.51852,0.54979,0.12027
HTP,per_env,vit_b_16,640,0,02,30,0.51852,0.52314,0.10978
HTP,per_env,vit_b_16,640,0,02,31,0.51852,0.56802,0.11078
