nohup: 忽略输入
设备 cuda | arch resnet50 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
    34     0.0730    0.711    0.763    13.1
    35     0.0888    0.741    0.780    13.0
    36     0.0695    0.685    0.750    13.3
    37     0.0917    0.642    0.751    13.4
    38     0.1112    0.685    0.766    13.3
    39     0.0981    0.681    0.766    13.4
    40     0.1010    0.741    0.795    13.3
    41     0.0826    0.728    0.778    13.4
    42     0.0696    0.690    0.759    13.2
    43     0.0731    0.724    0.786    13.2
    44     0.0624    0.716    0.790    13.4
    45     0.0392    0.728    0.795    13.4
    46     0.0429    0.728    0.781    13.4
    47     0.0565    0.703    0.788    13.2
    48     0.0535    0.724    0.766    13.3
    49     0.0586    0.737    0.778    13.3
    50     0.0449    0.733    0.778    13.4
[seed=2 size=640 pooled_split] 末轮 acc 0.733（记进汇总的是这个）   最好 epoch acc 0.780（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=3 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 29 个 batch
 epoch       loss      acc      auc       秒
     1     0.6630    0.690    0.775     3.0
     2     0.5691    0.767    0.826     3.0
     3     0.5068    0.716    0.840     3.0
     4     0.4930    0.677    0.769     3.0
     5     0.4635    0.707    0.802     3.0
     6     0.4172    0.716    0.796     3.0
     7     0.3730    0.677    0.769     3.0
     8     0.3234    0.703    0.812     3.0
     9     0.3172    0.750    0.816     3.0
    10     0.2830    0.733    0.834     3.0
    11     0.2677    0.754    0.837     3.0
    12     0.2597    0.750    0.826     3.0
    13     0.2188    0.737    0.828     3.0
    14     0.2370    0.733    0.787     3.0
    15     0.2174    0.746    0.814     3.0
    16     0.2319    0.759    0.807     3.0
    17     0.2142    0.741    0.817     3.0
    18     0.1861    0.720    0.807     3.0
    19     0.1702    0.746    0.817     3.0
    20     0.1701    0.716    0.812     3.0
    21     0.1769    0.707    0.789     3.0
    22     0.1882    0.724    0.813     3.0
    23     0.1912    0.772    0.830     3.0
    24     0.1550    0.698    0.795     3.0
    25     0.1674    0.733    0.803     3.0
    26     0.1635    0.720    0.790     3.0
    27     0.1425    0.741    0.820     3.0
    28     0.1038    0.694    0.785     3.0
    29     0.1481    0.703    0.783     3.0
    30     0.1693    0.733    0.806     3.0
    31     0.1357    0.698    0.786     3.0
    32     0.1735    0.711    0.787     3.0
    33     0.1386    0.724    0.789     3.0
    34     0.1095    0.698    0.782     3.0
    35     0.1345    0.728    0.803     3.0
    36     0.1337    0.707    0.797     3.0
    37     0.1149    0.720    0.791     3.0
    38     0.1129    0.733    0.791     3.0
    39     0.1135    0.703    0.771     3.0
    40     0.1326    0.711    0.773     3.0
    41     0.1065    0.668    0.802     3.0
    42     0.1137    0.690    0.755     3.0
    43     0.1034    0.698    0.780     3.0
    44     0.1338    0.707    0.781     3.0
    45     0.1526    0.703    0.779     3.0
    46     0.1384    0.707    0.805     3.0
    47     0.1122    0.672    0.798     3.0
    48     0.1221    0.741    0.806     3.0
    49     0.1128    0.724    0.795     3.0
    50     0.0900    0.737    0.819     3.0
[seed=3 size=224 pooled_split] 末轮 acc 0.737（记进汇总的是这个）   最好 epoch acc 0.772（挑了测试集上最好的一轮，只能参考，不能当结果报）

