dataset,scope,arch,image_size,seed,env,epoch,acc,auc,loss
HTP,pooled_split,resnet50,640,0,01,34,0.80952,0.89985,0.06235
HTP,pooled_split,resnet50,640,0,02,34,0.48148,0.3913,0.06235
HTP,pooled_split,resnet50,640,0,overall,35,0.66379,0.75442,0.08198
HTP,pooled_split,resnet50,640,0,00,35,0.61644,0.64132,0.08198
HTP,pooled_split,resnet50,640,0,01,35,0.78095,0.89659,0.08198
HTP,pooled_split,resnet50,640,0,02,35,0.5,0.56662,0.08198
HTP,pooled_split,resnet50,640,0,overall,36,0.66379,0.75584,0.06683
HTP,pooled_split,resnet50,640,0,00,36,0.57534,0.60369,0.06683
HTP,pooled_split,resnet50,640,0,01,36,0.8,0.91437,0.06683
HTP,pooled_split,resnet50,640,0,02,36,0.51852,0.55119,0.06683
HTP,pooled_split,resnet50,640,0,overall,37,0.68103,0.76872,0.08555
HTP,pooled_split,resnet50,640,0,00,37,0.58904,0.66436,0.08555
HTP,pooled_split,resnet50,640,0,01,37,0.79048,0.90022,0.08555
HTP,pooled_split,resnet50,640,0,02,37,0.59259,0.62553,0.08555
HTP,pooled_split,resnet50,640,0,overall,38,0.61207,0.72271,0.11137
HTP,pooled_split,resnet50,640,0,00,38,0.50685,0.60983,0.11137
HTP,pooled_split,resnet50,640,0,01,38,0.73333,0.87808,0.11137
HTP,pooled_split,resnet50,640,0,02,38,0.51852,0.46844,0.11137
HTP,pooled_split,resnet50,640,0,overall,39,0.68103,0.72102,0.06901
HTP,pooled_split,resnet50,640,0,00,39,0.63014,0.63134,0.06901
HTP,pooled_split,resnet50,640,0,01,39,0.78095,0.84579,0.06901
HTP,pooled_split,resnet50,640,0,02,39,0.55556,0.59748,0.06901
HTP,pooled_split,resnet50,640,0,overall,40,0.68534,0.75273,0.06121
HTP,pooled_split,resnet50,640,0,00,40,0.60274,0.62212,0.06121
HTP,pooled_split,resnet50,640,0,01,40,0.81905,0.88933,0.06121
HTP,pooled_split,resnet50,640,0,02,40,0.53704,0.58485,0.06121
HTP,pooled_split,resnet50,640,0,overall,41,0.68966,0.76861,0.07122
HTP,pooled_split,resnet50,640,0,00,41,0.58904,0.60637,0.07122
HTP,pooled_split,resnet50,640,0,01,41,0.84762,0.90675,0.07122
