nohup: 忽略输入
设备 cuda | arch vit_b_16 | scope pooled_split | image_size [224, 640] | seeds [0, 1, 2, 3, 4]
数据集：3 个域，2 个类 ['00', '01']
  域 00: 共   367 张   00:211  01:156   多数类基线 0.575
  域 01: 共   523 张   00:264  01:259   多数类基线 0.505
  域 02: 共   274 张   00:157  01:117   多数类基线 0.573
  合计   : 共  1164 张   多数类基线 0.543

[seed=0 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
 epoch       loss      acc      auc       秒
     1     0.7169    0.474    0.564     5.1
     2     0.6860    0.543    0.653     5.1
     3     0.6638    0.599    0.658     5.2
     4     0.6525    0.621    0.753     5.2
     5     0.6574    0.612    0.746     5.2
     6     0.6432    0.603    0.648     5.1
     7     0.6170    0.582    0.653     5.1
     8     0.6642    0.543    0.650     5.1
     9     0.6862    0.509    0.596     5.1
    10     0.6743    0.647    0.695     5.2
    11     0.6176    0.681    0.767     5.2
    12     0.6250    0.603    0.703     5.1
    13     0.5890    0.681    0.713     5.1
    14     0.5821    0.724    0.786     5.1
    15     0.6446    0.496    0.532     5.1
    16     0.6593    0.556    0.674     5.1
    17     0.5873    0.707    0.737     5.1
    18     0.5710    0.685    0.785     5.1
    19     0.5372    0.664    0.733     5.1
    20     0.5753    0.720    0.788     5.1
    21     0.5138    0.690    0.803     5.1
    22     0.5329    0.586    0.601     5.1
    23     0.5361    0.578    0.686     5.1
    24     0.4920    0.578    0.796     5.2
    25     0.4939    0.664    0.763     5.1
    26     0.4782    0.703    0.795     5.2
    27     0.4659    0.629    0.730     5.1
    28     0.4310    0.737    0.817     5.1
    29     0.4240    0.638    0.779     5.1
    30     0.4435    0.724    0.802     5.1
    31     0.4133    0.711    0.772     5.1
    32     0.3876    0.720    0.795     5.1
    33     0.3551    0.728    0.813     5.2
    34     0.3478    0.737    0.794     5.2
    35     0.3447    0.716    0.805     5.1
    36     0.3509    0.647    0.727     5.1
    37     0.3415    0.720    0.775     5.2
    38     0.3010    0.703    0.775     5.1
    39     0.2929    0.754    0.823     5.2
    40     0.2890    0.720    0.805     5.2
    41     0.2993    0.716    0.775     5.2
    42     0.2688    0.677    0.798     5.2
    43     0.2899    0.672    0.758     5.1
    44     0.2675    0.737    0.808     5.2
    45     0.2457    0.703    0.784     5.1
    46     0.2375    0.690    0.795     5.1
    47     0.2362    0.681    0.808     5.2
    48     0.3014    0.737    0.832     5.2
    49     0.2379    0.720    0.813     5.1
    50     0.2326    0.741    0.809     5.1
[seed=3 size=224 pooled_split] 末轮 acc 0.741（记进汇总的是这个）   最好 epoch acc 0.754（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=3 size=640 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
     1     0.7226    0.543    0.675    31.3
     2     0.6618    0.513    0.612    31.6
     3     0.6887    0.565    0.614    31.7
     4     0.6592    0.685    0.737    31.8
     5     0.6339    0.690    0.749    31.8
     6     0.6079    0.634    0.748    31.7
     7     0.6337    0.582    0.745    31.9
     8     0.6081    0.685    0.754    31.7
     9     0.5760    0.728    0.789    31.6
    10     0.5879    0.647    0.739    31.8
    11     0.5196    0.698    0.788    31.9
    12     0.5327    0.716    0.790    31.8
    13     0.4844    0.703    0.805    31.5
    14     0.4977    0.698    0.785    31.7
    15     0.4484    0.733    0.809    31.8
    16     0.4080    0.707    0.803    31.7
    17     0.4448    0.741    0.807    31.5
    18     0.4336    0.612    0.734    31.7
    19     0.4111    0.707    0.785    31.6
    20     0.3675    0.716    0.792    31.5
    21     0.3277    0.647    0.697    31.6
    22     0.3688    0.724    0.802    31.7
    23     0.3273    0.694    0.785    31.9
    24     0.3549    0.720    0.810    31.7
    25     0.2922    0.707    0.787    31.7
    26     0.3385    0.569    0.743    31.5
    27     0.3179    0.759    0.840    31.8
    28     0.2418    0.754    0.826    31.9
    29     0.2437    0.737    0.821    31.5
    30     0.2540    0.746    0.820    31.6
    31     0.2316    0.720    0.804    31.5
    32     0.2402    0.711    0.808    31.9
    33     0.2114    0.733    0.810    31.5
    34     0.2238    0.754    0.817    31.6
    35     0.2261    0.720    0.810    31.7
    36     0.2364    0.720    0.784    31.6
    37     0.2098    0.750    0.810    31.7
    38     0.1671    0.707    0.798    31.5
    39     0.1915    0.690    0.782    31.5
    40     0.1644    0.741    0.819    31.4
    41     0.1613    0.737    0.812    31.7
    42     0.1622    0.741    0.801    31.6
    43     0.1624    0.664    0.768    31.4
    44     0.1763    0.720    0.810    31.6
    45     0.1248    0.720    0.798    31.6
    46     0.1686    0.681    0.772    31.5
    47     0.1297    0.707    0.790    31.6
    48     0.1979    0.741    0.789    31.8
    49     0.1143    0.746    0.822    31.6
    50     0.1431    0.720    0.803    31.6
[seed=3 size=640 pooled_split] 末轮 acc 0.720（记进汇总的是这个）   最好 epoch acc 0.759（挑了测试集上最好的一轮，只能参考，不能当结果报）

[seed=4 size=224 pooled_split] 训练 932 张 / 测试 232 张 / 每 epoch 58 个 batch
 epoch       loss      acc      auc       秒
